ID,Date Customer,Birth Year,Generation,Age,Education,Marital Status,Income,Kidhome,Teenhome,Recency,Wines,Fruits,Meat Products,Fish Products,Sweet Products,Gold Products,Total Spending,Web Visits,Web Purchases,Catalog Purchases,Store Purchases,Deals Purchases,Campaign 1,Campaign 2,Campaign 3,Campaign 4,Campaign 5,Complain,Response
5524,2012-09-04,1957,Baby Boomer,55,Bachelor,Single,58138.0,0,0,58,635,88,546,172,88,88,1617,7,8,10,4,3,0,0,0,0,0,0,1
2174,2014-03-08,1954,Baby Boomer,60,Bachelor,Single,46344.0,1,1,38,11,1,6,2,1,6,27,5,1,1,2,2,0,0,0,0,0,0,0
4141,2013-08-21,1965,Gen X,48,Bachelor,Together,71613.0,0,0,26,426,49,127,111,21,42,776,4,8,2,10,1,0,0,0,0,0,0,0
6182,2014-02-10,1984,Millenials,30,Bachelor,Together,26646.0,1,0,26,11,4,20,10,3,5,53,6,2,0,4,2,0,0,0,0,0,0,0
5324,2014-01-19,1981,Millenials,33,PhD,Married,58293.0,1,0,94,173,43,118,46,27,15,422,5,5,3,6,5,0,0,0,0,0,0,0
7446,2013-09-09,1967,Gen X,46,Master,Together,62513.0,0,1,16,520,42,98,0,42,14,716,6,6,4,10,2,0,0,0,0,0,0,0
965,2012-11-13,1971,Gen X,41,Bachelor,Divorced,55635.0,0,1,34,235,65,164,50,49,27,590,6,7,3,7,4,0,0,0,0,0,0,0
6177,2013-05-08,1985,Millenials,28,PhD,Married,33454.0,1,0,32,76,10,56,3,1,23,169,8,4,0,4,2,0,0,0,0,0,0,0
4855,2013-06-06,1974,Gen X,39,PhD,Together,30351.0,1,0,19,14,0,24,3,3,2,46,9,3,0,2,1,0,0,0,0,0,0,1
5899,2014-03-13,1950,Baby Boomer,64,PhD,Together,5648.0,1,1,68,28,0,6,1,1,13,49,20,1,0,0,1,0,0,1,0,0,0,0
387,2012-11-13,1976,Gen X,36,Basic,Married,7500.0,0,0,59,6,16,11,11,1,16,61,8,2,0,3,1,0,0,0,0,0,0,0
2125,2013-11-15,1959,Baby Boomer,54,Bachelor,Divorced,63033.0,0,0,82,194,61,480,225,112,30,1102,2,3,4,8,1,0,0,0,0,0,0,0
8180,2013-11-15,1952,Baby Boomer,61,Master,Divorced,59354.0,1,1,53,233,2,53,3,5,14,310,6,6,1,5,3,0,0,0,0,0,0,0
